id,customer_id,order_date,total_amount,status,shipping_address,created_at,updated_at
44,27,2025-07-09,1373.14,Delivered,"64645 Nicole Islands
Port Amanda, OK 81133",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
45,61,2025-10-27,1969.29,Delivered,"72661 Scott Stream
Pricechester, MN 75393",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
48,24,2025-05-13,3271.90,Delivered,"PSC 9547, Box 5169
APO AP 82019",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
51,28,2025-10-14,4859.10,Delivered,"3807 Martinez Shores Apt. 894
Simsstad, IL 34601",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
52,15,2025-12-03,795.76,Delivered,"67634 Jackson Vista Suite 251
Josephchester, KS 19839",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
54,18,2025-03-24,2040.04,Delivered,"457 Marcus Pines
Jaredton, PA 06917",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
58,91,2025-08-09,450.58,Delivered,"Unit 0450 Box 1284
DPO AE 21987",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
60,100,2025-11-10,4554.29,Delivered,"1808 Burton Meadow Suite 398
South Marvin, TX 66657",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
61,67,2025-03-17,4207.94,Delivered,"6204 Torres Alley Suite 353
Bowerschester, AZ 60371",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
62,67,2025-05-14,4714.67,Delivered,"542 Wright Junction Apt. 128
Perezmouth, MD 59789",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
63,94,2025-08-29,223.30,Delivered,"270 Sosa Crescent Apt. 063
East Shannontown, OR 30824",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
65,82,2025-05-27,1308.58,Delivered,"736 Christine Valley Suite 003
Davidton, OK 90927",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
66,61,2025-12-08,1196.20,Delivered,"73584 James Mountain Suite 988
Ruizview, DE 38707",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
68,77,2025-05-28,1171.51,Delivered,"USS Anderson
FPO AA 18172",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
72,55,2025-08-25,4445.90,Delivered,"0776 Jefferson Knolls Suite 499
Port Angelaville, SC 28250",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
73,70,2025-05-27,2429.95,Delivered,"4356 Richard Port Apt. 777
West Rachel, MN 62805",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
74,54,2025-03-12,4080.79,Delivered,"33745 Hailey Parkway
Gabrielleshire, TX 51679",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
77,60,2025-06-16,2973.14,Delivered,"6918 Sherry Radial Suite 022
South Candicebury, ND 39804",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
79,1,2025-05-16,666.82,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
80,97,2025-03-08,1147.59,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
82,61,2025-10-30,2842.08,Delivered,"Unit 7393 Box 7384
DPO AE 89281",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
85,55,2026-01-14,3476.79,Delivered,"93980 Joshua Shoal
Michaelberg, MO 44360",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
86,5,2025-03-15,4624.08,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
87,83,2025-03-06,2174.27,Delivered,"1565 Cathy Bypass
West Teresatown, TN 32159",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
88,40,2025-09-14,598.71,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
89,53,2025-12-08,1486.77,Delivered,"2211 Williams Rapids Suite 699
Leonardview, AS 73074",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
91,77,2025-09-18,4876.71,Delivered,"601 Kylie Ridges
Hendricksborough, ND 44787",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
92,84,2025-11-26,2973.32,Delivered,"618 Roger Camp
Meganville, OR 10807",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
93,37,2025-03-19,1131.62,Delivered,"036 Kyle Avenue Apt. 737
Nataliehaven, SD 21684",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
95,49,2025-08-09,1084.61,Delivered,"61964 Moore Circle
Richardville, ME 04018",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
97,58,2025-06-06,3039.25,Delivered,"67336 Parrish Port Suite 843
New Ryan, MH 90526",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
98,46,2025-10-05,4497.04,Delivered,"69267 Harvey Cove
Mendeztown, UT 99480",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
99,69,2025-10-25,3668.73,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
100,11,2025-02-27,3075.83,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
101,59,2025-02-01,385.53,Delivered,"Unit 9972 Box 5226
DPO AP 70891",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
102,87,2025-03-15,4860.42,Delivered,"5896 Brandon Bridge
East Charles, IN 17042",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
105,99,2025-06-23,3787.19,Delivered,"534 Michael Squares Suite 617
Davisville, DC 00825",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
107,74,2025-09-07,3916.32,Delivered,"9707 Eric Haven
West Carmenville, NJ 27139",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
108,69,2026-01-14,4013.20,Delivered,"71918 Miller Brook
East Larryville, PR 19096",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
109,72,2025-07-28,4696.35,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
110,11,2025-05-07,2356.60,Delivered,"17187 Flores Islands Suite 297
Port Cindy, IN 50242",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
111,14,2025-11-16,4802.20,Delivered,"116 Parker Wall
Lake Victoriatown, NE 72882",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
112,40,2025-11-18,659.66,Delivered,"19368 Amber Hills
West Sean, MS 85448",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
113,93,2025-06-30,1949.94,Delivered,"703 Joseph Viaduct
Lake Christy, MA 20339",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
114,97,2025-09-16,2554.97,Delivered,"583 Jennifer Groves
New Mason, IN 95005",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
116,30,2025-03-12,4951.70,Delivered,"248 Fisher Inlet Apt. 071
East Bradleymouth, PR 12779",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
117,61,2025-03-07,4010.44,Delivered,"51510 Daniel Park
Davidburgh, ND 87997",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
118,28,2025-07-17,3800.29,Delivered,"8636 Anthony Squares
Davisfurt, GA 33962",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
119,77,2025-05-13,1934.88,Delivered,"PSC 8153, Box 2455
APO AA 43082",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
120,75,2025-04-04,4431.06,Delivered,"830 Kevin Ranch Suite 977
Michaelland, NH 22636",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
121,49,2025-09-07,4270.86,Delivered,"70041 Mary Motorway
Tinamouth, GA 80543",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
123,68,2026-01-12,4666.14,Delivered,"289 Elliott Estate
Lake Leonard, RI 03770",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
124,48,2025-05-18,1787.04,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
125,54,2025-07-28,4856.26,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
127,60,2025-06-12,108.54,Delivered,"2197 Thomas Squares Suite 631
Campbellfurt, MD 05353",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
128,20,2025-06-06,4522.76,Delivered,"62350 Christine Row Apt. 367
Carlatown, GA 61196",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
130,99,2025-03-10,70.73,Delivered,"273 Hamilton Cliff Suite 028
North Joshua, NJ 36198",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
131,83,2025-07-20,2123.20,Delivered,"709 Teresa Station Apt. 942
West Lorifurt, WV 18193",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
133,77,2025-02-04,158.83,Delivered,"626 Lindsey Burg
Lake Vincentville, UT 89284",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
135,14,2025-10-16,718.87,Delivered,"8102 Brandy Highway
Tarastad, VA 02531",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
136,74,2025-12-02,1641.20,Delivered,"7269 Kevin Knolls
Freemantown, FL 18589",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
138,79,2025-08-16,4652.37,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
139,50,2025-01-31,2419.89,Delivered,"3604 Erin Street
North Ryan, CA 25833",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
140,67,2025-06-14,2171.07,Delivered,"0464 Gordon Landing Apt. 036
Bridgettown, LA 22118",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
141,77,2025-08-09,2607.02,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
146,25,2025-11-26,4885.15,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
149,16,2025-05-19,3147.45,Delivered,"110 Harrington Stream
Kylieton, FL 08054",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
150,47,2025-05-07,3408.33,Delivered,"69610 Mccarthy Pass Apt. 036
Billberg, ID 17226",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
152,5,2025-03-22,1927.24,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
156,58,2025-11-30,1474.16,Delivered,"3147 Gibson Plaza
Georgeport, WI 40038",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
157,25,2025-03-28,4233.81,Delivered,"41066 Mccormick Mission
Fordstad, IN 81897",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
160,5,2025-06-18,3284.80,Delivered,"873 Jefferson Fields
Lake Jayside, MT 02359",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
163,59,2025-05-16,477.55,Delivered,"19035 Carlos Junctions Apt. 851
West Jamesmouth, MI 83600",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
164,45,2025-03-05,3211.50,Delivered,"USNS Ramirez
FPO AP 08437",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
166,12,2025-11-13,453.37,Delivered,"99555 Gibson Way
Lake Erica, WA 10688",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
167,23,2025-09-13,2830.25,Delivered,"2260 Jason Squares Suite 276
North Jessica, CO 85349",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
168,87,2025-05-01,294.20,Delivered,"6543 Davis Ramp
Jacksontown, NE 68443",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
169,14,2026-01-02,2107.69,Delivered,"1382 Garcia River
Fisherstad, SC 20506",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
170,19,2025-02-07,4990.00,Delivered,"74367 Schmidt Fords
Anitaburgh, OH 85600",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
172,18,2025-08-12,3694.64,Delivered,"7613 Chelsea Pine
Margaretfort, PR 69336",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
173,38,2025-05-31,2912.92,Delivered,"632 Richard Ports
Sarahmouth, MT 53017",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
174,81,2025-04-06,244.07,Delivered,"1515 Fowler Shores
South Robertport, LA 51783",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
176,71,2025-08-12,76.41,Delivered,"961 Joshua Drives
East Brenda, FM 64900",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
177,23,2025-04-06,891.59,Delivered,"459 Tracy Mall Suite 052
Katieshire, OR 01194",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
178,73,2025-11-03,3317.69,Delivered,"750 Scott Summit
Osbornside, NV 31578",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
179,37,2025-09-11,2919.18,Delivered,"0536 Lane Hills Suite 416
East Brettberg, AL 68803",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
180,34,2025-06-16,3167.65,Delivered,,2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
181,97,2025-08-22,1768.35,Delivered,"52437 Donovan Port
North Connieton, AS 60096",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
185,70,2025-03-01,3369.93,Delivered,"82494 Serrano Crest
Williamsbury, PR 55005",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
186,12,2025-12-15,58.63,Delivered,"394 Timothy Village
Robynport, AR 05584",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
187,23,2025-03-11,2818.37,Delivered,"330 Graham Villages Apt. 056
New Michaelville, KS 09718",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
188,57,2025-12-20,4933.79,Delivered,"9254 Cooper Prairie
South Yvonnehaven, IN 62233",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
189,46,2025-07-26,3701.86,Delivered,"PSC 1056, Box 1786
APO AA 07962",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
190,60,2025-12-06,1060.10,Delivered,"8709 Harper Views
East David, OK 52741",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
192,80,2025-06-08,1839.57,Delivered,"97344 Meza Pike Apt. 192
Brandyfurt, KY 25558",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
193,49,2025-12-29,3812.29,Delivered,"55897 Cesar Square
Tuckerchester, WY 34340",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
195,7,2025-11-02,1272.55,Delivered,"07254 Rose Falls
Lake Natasha, OR 09820",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
196,14,2025-08-25,2287.12,Delivered,"177 Julia Mountain
Vincentmouth, NM 46645",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
198,34,2025-05-18,1895.88,Delivered,"2484 Gina Corner Apt. 030
Gardnermouth, WV 05638",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
199,83,2025-12-12,4901.35,Delivered,"988 Thomas Plains
Harrisonborough, FM 21812",2026-01-29 00:57:13.212761,2026-01-29 00:57:13.212761
